id,product,category,amount,sale_date,quantity,customer_id,store_location
114,Monitor,Electronics,395.04,2023-06-26,8,320,"New York"
115,Bed,Furniture,403.98,2023-04-17,8,7,Houston
116,"Action Figure",Toys,830.72,2023-06-02,8,119,Miami
117,"Board Game",Toys,365.56,2023-01-09,2,251,"New York"
118,Tablet,Electronics,694.19,2023-06-02,2,97,Chicago
119,Smartwatch,Electronics,325.48,2023-04-06,7,405,"New York"
120,"Art Book",Books,147.08,2023-05-18,4,300,Miami
121,Shoes,Clothing,298.44,2023-04-18,1,307,Miami
122,Nightstand,Furniture,103.48,2023-04-05,4,474,Miami
123,Nightstand,Furniture,913.06,2023-05-07,8,381,Chicago
124,Tablet,Electronics,819.13,2023-03-05,3,220,"Los Angeles"
125,Speaker,Electronics,419.42,2023-01-23,4,244,"Los Angeles"
126,Smartwatch,Electronics,833.04,2023-02-15,8,62,"Los Angeles"
127,Monitor,Electronics,776.14,2023-05-12,4,220,"Los Angeles"
128,"Fiction Book",Books,622.27,2023-04-11,10,462,Miami
129,T-shirt,Clothing,671.15,2023-02-07,1,251,Chicago
130,"Art Book",Books,870.55,2023-03-24,7,5,"New York"
131,Laptop,Electronics,611.08,2023-04-23,3,281,Miami
132,Monitor,Electronics,531.71,2023-05-04,9,49,Miami
133,"Science Book",Books,44.71,2023-06-25,8,366,Chicago
134,Tablet,Electronics,824.86,2023-03-14,6,236,Houston
135,Bed,Furniture,100.48,2023-02-13,10,402,"Los Angeles"
136,Mouse,Electronics,561.92,2023-01-19,9,414,Houston
137,"Art Book",Books,446.26,2023-03-05,5,40,"New York"
138,Sofa,Furniture,127.20,2023-01-02,7,126,"Los Angeles"
139,"History Book",Books,361.19,2023-05-06,5,473,Chicago
140,"Art Book",Books,94.87,2023-01-05,9,54,"New York"
141,"Action Figure",Toys,616.12,2023-01-07,4,263,Houston
142,"Non-fiction Book",Books,730.57,2023-04-25,10,4,"New York"
143,Shoes,Clothing,781.65,2023-03-31,2,99,Chicago
144,Dresser,Furniture,253.80,2023-03-21,5,448,"New York"
145,Headphones,Electronics,498.63,2023-03-03,3,21,Chicago
146,"Art Book",Books,24.77,2023-04-26,2,355,"New York"
147,"Fiction Book",Books,957.93,2023-05-16,9,84,"New York"
148,Dress,Clothing,204.71,2023-04-13,3,242,Houston
149,Laptop,Electronics,644.67,2023-05-14,8,329,Miami
150,"Fiction Book",Books,57.96,2023-01-07,1,478,Houston
151,"Remote Control Car",Toys,663.19,2023-06-07,4,127,"New York"
152,Doll,Toys,669.11,2023-03-21,3,369,"New York"
153,Speaker,Electronics,673.65,2023-04-07,7,327,"Los Angeles"
154,"Fiction Book",Books,640.60,2023-06-16,8,394,Houston
155,Jacket,Clothing,233.12,2023-03-05,1,149,"Los Angeles"
156,Dress,Clothing,229.49,2023-04-12,2,2,Chicago
157,"Action Figure",Toys,405.24,2023-05-31,10,164,Houston
158,"Non-fiction Book",Books,318.14,2023-05-14,8,285,Chicago
159,Speaker,Electronics,429.65,2023-02-14,10,11,"Los Angeles"
160,Smartphone,Electronics,893.23,2023-02-12,6,422,Houston
161,Doll,Toys,19.48,2023-01-21,6,91,"Los Angeles"
162,Shoes,Clothing,452.86,2023-03-18,8,301,Houston
163,Shoes,Clothing,611.24,2023-03-22,4,314,Miami
164,Puzzle,Toys,558.47,2023-05-29,5,416,Houston
165,Bed,Furniture,163.99,2023-03-30,10,180,Miami
166,Sofa,Furniture,264.43,2023-03-23,5,5,Houston
167,Mouse,Electronics,541.03,2023-01-05,6,241,Miami
168,"Remote Control Car",Toys,605.80,2023-03-25,5,32,Miami
169,Smartwatch,Electronics,70.50,2023-03-23,1,425,"New York"
170,Smartphone,Electronics,131.33,2023-03-15,7,17,"Los Angeles"
171,"Action Figure",Toys,676.44,2023-01-14,4,236,"Los Angeles"
172,Bookshelf,Furniture,966.31,2023-05-17,9,105,"Los Angeles"
173,Smartwatch,Electronics,726.26,2023-05-15,6,288,"New York"
174,Monitor,Electronics,120.08,2023-04-22,8,385,Houston
175,Monitor,Electronics,375.17,2023-06-16,6,390,"Los Angeles"
176,T-shirt,Clothing,489.58,2023-06-20,3,269,Miami
177,"History Book",Books,445.99,2023-02-05,7,353,Chicago
178,"Non-fiction Book",Books,108.31,2023-03-12,7,492,"New York"
179,Smartwatch,Electronics,912.06,2023-04-10,1,234,"Los Angeles"
180,Puzzle,Toys,919.95,2023-03-18,4,284,Houston
181,"Board Game",Toys,466.38,2023-06-27,6,375,"New York"
182,Sofa,Furniture,511.45,2023-04-29,8,407,Houston
183,T-shirt,Clothing,271.20,2023-06-09,7,209,"Los Angeles"
184,"Action Figure",Toys,487.56,2023-02-09,7,229,Chicago
185,"Non-fiction Book",Books,650.89,2023-01-29,9,382,"Los Angeles"
186,Keyboard,Electronics,209.73,2023-04-22,5,255,"New York"
187,Laptop,Electronics,218.64,2023-05-23,3,62,Houston
188,Nightstand,Furniture,291.17,2023-03-25,5,419,Miami
189,"Fiction Book",Books,176.82,2023-05-03,9,149,Miami
190,Shoes,Clothing,313.73,2023-04-25,3,126,Chicago
191,Mouse,Electronics,761.13,2023-01-10,10,371,Houston
192,Jacket,Clothing,534.40,2023-05-05,9,90,"Los Angeles"
193,Speaker,Electronics,138.57,2023-06-03,9,354,Miami
194,"Art Book",Books,791.51,2023-04-08,4,24,"Los Angeles"
195,Keyboard,Electronics,155.05,2023-03-18,7,32,"Los Angeles"
196,Nightstand,Furniture,472.24,2023-04-20,7,172,Miami
197,Smartwatch,Electronics,329.58,2023-04-20,1,248,"Los Angeles"
198,Puzzle,Toys,453.44,2023-03-12,7,435,Chicago
199,Doll,Toys,434.65,2023-03-10,7,455,Houston
200,"Remote Control Car",Toys,451.80,2023-02-25,2,488,"Los Angeles"
201,"Art Book",Books,871.66,2023-06-02,7,284,Miami
202,Headphones,Electronics,481.99,2023-01-14,10,226,Chicago
203,"Remote Control Car",Toys,399.56,2023-06-29,8,499,Chicago
204,"Remote Control Car",Toys,822.09,2023-03-01,2,485,"Los Angeles"
205,Jeans,Clothing,396.55,2023-06-25,7,259,Chicago
206,Mouse,Electronics,829.68,2023-03-15,6,240,Houston
207,Shoes,Clothing,205.20,2023-02-23,9,219,Chicago
208,"Science Book",Books,481.51,2023-06-19,3,249,Houston
209,Puzzle,Toys,890.11,2023-02-01,3,270,"New York"
210,"Fiction Book",Books,516.55,2023-02-24,10,438,Chicago
211,"Action Figure",Toys,642.33,2023-06-23,10,313,Chicago
212,Headphones,Electronics,32.59,2023-06-29,9,214,Chicago
213,Monitor,Electronics,237.90,2023-01-28,1,412,Miami
214,Bed,Furniture,634.96,2023-05-09,7,108,"New York"
215,"Fiction Book",Books,220.56,2023-01-04,5,57,"Los Angeles"
216,"Action Figure",Toys,708.82,2023-01-26,6,271,Miami
217,Doll,Toys,51.91,2023-04-25,1,98,Miami
218,Doll,Toys,224.86,2023-03-12,3,113,"Los Angeles"
219,"Art Book",Books,195.05,2023-02-26,10,464,Houston
220,"Remote Control Car",Toys,966.53,2023-02-06,2,480,Chicago
221,"Table Lamp",Furniture,613.56,2023-03-16,3,454,Miami
222,Shoes,Clothing,413.78,2023-01-21,4,145,Chicago
223,Shoes,Clothing,541.93,2023-05-10,10,332,Chicago
224,Monitor,Electronics,377.34,2023-05-31,1,398,Houston
225,Jeans,Clothing,157.69,2023-05-10,2,209,Houston
226,T-shirt,Clothing,454.81,2023-05-12,3,97,"New York"
227,Laptop,Electronics,614.75,2023-03-28,6,189,"New York"
228,"Board Game",Toys,87.95,2023-06-15,4,472,Houston
229,"Art Book",Books,134.52,2023-05-05,1,100,Miami
230,Jeans,Clothing,756.31,2023-06-17,4,43,"Los Angeles"
231,Bookshelf,Furniture,861.11,2023-03-05,2,406,Chicago
232,Dresser,Furniture,433.76,2023-02-16,10,109,"New York"
233,"Science Book",Books,588.23,2023-02-08,3,414,"Los Angeles"
234,Doll,Toys,971.44,2023-01-03,2,368,"Los Angeles"
235,Puzzle,Toys,610.94,2023-01-28,10,72,Miami
236,Wardrobe,Furniture,318.10,2023-06-25,10,336,Chicago
237,"Action Figure",Toys,511.14,2023-02-22,10,375,Miami
238,"Fiction Book",Books,36.67,2023-04-27,2,320,Miami
239,Desk,Furniture,475.89,2023-01-19,1,80,Chicago
240,Camera,Electronics,79.49,2023-05-26,8,278,"Los Angeles"
241,Bookshelf,Furniture,745.83,2023-05-13,5,13,Houston
242,"Remote Control Car",Toys,987.39,2023-02-07,1,384,Houston
243,"History Book",Books,486.28,2023-02-18,9,334,Houston
244,Sofa,Furniture,492.35,2023-05-14,3,452,Miami
245,Shoes,Clothing,113.90,2023-05-29,8,233,Miami
246,Desk,Furniture,213.36,2023-05-31,6,123,Chicago
247,Camera,Electronics,716.78,2023-01-31,8,18,"New York"
248,Keyboard,Electronics,957.70,2023-03-13,2,200,Houston
249,"Action Figure",Toys,301.13,2023-03-02,8,430,Miami
250,"Table Lamp",Furniture,826.04,2023-04-02,1,400,Miami
251,"History Book",Books,361.49,2023-06-11,4,144,"Los Angeles"
252,Jeans,Clothing,56.80,2023-04-05,5,356,"New York"
253,"Non-fiction Book",Books,383.01,2023-06-09,3,362,Houston
254,"Science Book",Books,916.65,2023-02-18,6,67,Miami
255,Speaker,Electronics,409.14,2023-01-28,6,110,Chicago
256,"Science Book",Books,927.26,2023-02-18,6,2,"Los Angeles"
257,"Non-fiction Book",Books,90.87,2023-06-03,10,189,Miami
258,Jacket,Clothing,281.41,2023-01-22,8,222,Miami
259,Wardrobe,Furniture,156.26,2023-02-25,1,192,Houston
260,Jeans,Clothing,299.57,2023-03-13,1,102,Houston
261,Chair,Furniture,927.43,2023-01-25,9,34,Houston
262,Monitor,Electronics,440.10,2023-02-12,9,313,Chicago
263,"Fiction Book",Books,689.03,2023-06-07,4,457,Houston
264,Jeans,Clothing,475.20,2023-02-18,10,386,"New York"
265,Wardrobe,Furniture,328.33,2023-02-13,3,188,"Los Angeles"
266,"Action Figure",Toys,793.53,2023-04-13,5,323,Miami
267,Laptop,Electronics,288.51,2023-01-13,5,125,Houston
268,Laptop,Electronics,268.42,2023-01-07,4,409,Miami
269,Laptop,Electronics,358.55,2023-02-10,1,289,Houston
270,"Board Game",Toys,262.48,2023-01-19,8,154,"Los Angeles"
271,"Board Game",Toys,774.89,2023-03-04,5,13,Miami
272,Desk,Furniture,405.35,2023-05-16,6,268,Miami
273,Wardrobe,Furniture,257.71,2023-04-30,6,368,"New York"
274,"Remote Control Car",Toys,186.84,2023-03-21,7,450,Chicago
275,Camera,Electronics,126.40,2023-06-20,4,457,Chicago
276,Puzzle,Toys,598.95,2023-01-25,9,17,Chicago
277,Bed,Furniture,976.08,2023-04-20,2,348,"New York"
278,"Non-fiction Book",Books,834.47,2023-04-07,2,152,Miami
279,Puzzle,Toys,469.89,2023-03-21,8,306,Houston
280,"Non-fiction Book",Books,299.60,2023-05-07,7,8,"New York"
281,"Action Figure",Toys,819.20,2023-05-07,1,93,Houston
282,Headphones,Electronics,954.55,2023-04-29,5,67,Chicago
283,"Art Book",Books,443.25,2023-04-27,10,300,"Los Angeles"
284,Shoes,Clothing,306.55,2023-04-07,8,85,Chicago
285,Sofa,Furniture,2.72,2023-02-23,5,272,"Los Angeles"
286,"Non-fiction Book",Books,839.22,2023-02-02,4,208,Miami
287,"Table Lamp",Furniture,883.97,2023-06-03,7,244,Houston
288,T-shirt,Clothing,568.41,2023-04-30,7,40,Chicago
289,Shoes,Clothing,146.06,2023-06-13,2,406,Houston
290,Nightstand,Furniture,169.22,2023-06-15,1,361,"Los Angeles"
291,Desk,Furniture,69.75,2023-02-04,8,83,Chicago
292,Jeans,Clothing,400.36,2023-01-03,9,157,Miami
293,"Fiction Book",Books,377.83,2023-03-18,10,328,"Los Angeles"
294,"Fiction Book",Books,67.93,2023-05-18,7,413,"Los Angeles"
295,"Fiction Book",Books,532.02,2023-01-23,1,372,Houston
296,Smartphone,Electronics,320.48,2023-03-15,1,102,Houston
297,Mouse,Electronics,192.07,2023-03-06,3,16,Chicago
298,Bookshelf,Furniture,627.85,2023-01-20,7,476,Houston
299,Laptop,Electronics,250.77,2023-06-17,10,374,"New York"
300,"Art Book",Books,292.92,2023-05-01,5,139,"New York"
301,Bookshelf,Furniture,694.17,2023-04-12,8,480,Houston
302,Smartphone,Electronics,617.05,2023-01-02,2,447,Miami
303,"Remote Control Car",Toys,373.40,2023-03-12,9,24,Houston
304,Dresser,Furniture,336.69,2023-04-26,2,26,Houston
305,Desk,Furniture,658.37,2023-01-20,6,229,Houston
306,"History Book",Books,452.97,2023-01-20,2,297,Chicago
307,Sofa,Furniture,417.84,2023-02-22,3,86,"Los Angeles"
308,"Science Book",Books,352.08,2023-03-17,1,3,Miami
309,Nightstand,Furniture,623.65,2023-03-15,2,299,Chicago
310,"Art Book",Books,851.42,2023-02-22,10,335,Houston
311,Keyboard,Electronics,191.55,2023-04-06,1,378,Chicago
312,Jeans,Clothing,319.60,2023-06-21,9,91,Chicago
313,"Remote Control Car",Toys,840.25,2023-04-07,2,99,Chicago
314,"Action Figure",Toys,937.03,2023-02-13,5,161,"Los Angeles"
315,Doll,Toys,859.52,2023-03-13,5,410,Miami
316,Monitor,Electronics,784.92,2023-05-31,9,335,Miami
317,Keyboard,Electronics,462.10,2023-01-19,2,162,"Los Angeles"
318,Bookshelf,Furniture,12.41,2023-01-16,4,328,"New York"
319,"Fiction Book",Books,269.38,2023-01-25,9,499,"Los Angeles"
320,"Science Book",Books,415.16,2023-04-11,6,26,Houston
321,"Remote Control Car",Toys,796.29,2023-02-01,5,437,Miami
322,Monitor,Electronics,785.66,2023-05-24,7,360,Houston
323,Jeans,Clothing,839.64,2023-03-16,6,245,Miami
324,Jeans,Clothing,191.91,2023-06-01,7,320,"Los Angeles"
325,Shoes,Clothing,746.90,2023-01-17,3,416,Chicago
326,Doll,Toys,493.30,2023-05-01,9,153,Miami
327,"Fiction Book",Books,77.31,2023-01-25,5,416,Miami
328,Jeans,Clothing,26.66,2023-01-23,6,149,Miami
329,T-shirt,Clothing,893.35,2023-01-24,10,219,"Los Angeles"
330,Camera,Electronics,731.59,2023-01-31,7,347,Chicago
331,"History Book",Books,417.45,2023-01-07,10,287,"New York"
332,Jacket,Clothing,511.76,2023-04-26,7,205,"New York"
333,Speaker,Electronics,663.47,2023-03-29,5,372,"Los Angeles"
334,"History Book",Books,747.40,2023-06-15,4,18,"New York"
335,"Table Lamp",Furniture,753.90,2023-01-09,10,374,Houston
336,"Non-fiction Book",Books,542.36,2023-04-25,6,422,Chicago
337,Wardrobe,Furniture,416.75,2023-03-25,1,480,Chicago
338,Keyboard,Electronics,235.28,2023-05-16,1,20,"New York"
339,Puzzle,Toys,754.85,2023-04-20,8,11,Miami
340,Doll,Toys,682.50,2023-04-02,6,490,"Los Angeles"
341,Speaker,Electronics,733.99,2023-05-20,7,44,"Los Angeles"
342,"Non-fiction Book",Books,63.59,2023-04-30,2,305,Houston
343,"Fiction Book",Books,167.52,2023-05-31,7,413,"New York"
344,Mouse,Electronics,192.51,2023-02-24,10,395,"New York"
345,Nightstand,Furniture,90.21,2023-04-01,3,373,Miami
346,"Non-fiction Book",Books,252.49,2023-04-14,2,459,"New York"
347,"Table Lamp",Furniture,55.89,2023-04-25,1,96,Miami
348,Puzzle,Toys,979.79,2023-05-12,8,177,Houston
349,Camera,Electronics,832.58,2023-04-14,4,108,Miami
350,Puzzle,Toys,668.97,2023-03-08,9,65,"New York"
351,Monitor,Electronics,293.49,2023-03-24,5,337,"New York"
352,"Art Book",Books,602.57,2023-02-15,5,252,"New York"
353,Desk,Furniture,305.36,2023-03-12,1,3,Miami
354,T-shirt,Clothing,134.39,2023-01-24,3,444,Houston
355,"Non-fiction Book",Books,750.25,2023-05-06,3,14,Chicago
356,Wardrobe,Furniture,694.52,2023-05-22,9,462,"New York"
357,T-shirt,Clothing,187.44,2023-04-22,6,413,Chicago
358,Camera,Electronics,206.08,2023-03-05,2,335,Miami
359,Shoes,Clothing,48.61,2023-03-24,2,199,Chicago
360,Bookshelf,Furniture,730.56,2023-04-05,5,278,Chicago
361,Puzzle,Toys,726.70,2023-05-08,4,343,"Los Angeles"
362,"Fiction Book",Books,676.81,2023-01-11,3,50,Houston
363,Dresser,Furniture,981.38,2023-01-13,4,381,Houston
364,Doll,Toys,418.83,2023-06-12,3,276,"New York"
365,Wardrobe,Furniture,922.82,2023-02-07,3,369,Miami
366,Smartphone,Electronics,731.95,2023-04-18,8,75,"Los Angeles"
367,T-shirt,Clothing,567.97,2023-02-15,6,42,Houston
368,Bookshelf,Furniture,657.58,2023-03-10,10,264,Miami
369,Jeans,Clothing,45.82,2023-02-02,8,138,"New York"
370,"History Book",Books,123.25,2023-02-13,9,252,Miami
371,Wardrobe,Furniture,257.86,2023-05-05,7,182,Houston
372,"Fiction Book",Books,355.67,2023-04-13,8,94,Chicago
373,Jeans,Clothing,546.04,2023-04-23,5,257,"New York"
374,Tablet,Electronics,776.03,2023-02-03,7,254,Houston
375,Puzzle,Toys,356.82,2023-06-06,3,417,"Los Angeles"
376,"Remote Control Car",Toys,859.31,2023-03-21,7,424,"Los Angeles"
377,Keyboard,Electronics,188.40,2023-03-24,8,126,"New York"
378,"Art Book",Books,824.04,2023-02-20,10,417,"Los Angeles"
379,Bed,Furniture,280.88,2023-01-16,6,362,Miami
380,"Action Figure",Toys,140.51,2023-01-27,4,65,Houston
381,Mouse,Electronics,215.09,2023-04-04,10,123,"Los Angeles"
382,Puzzle,Toys,869.71,2023-01-21,10,241,Chicago
383,Smartphone,Electronics,923.13,2023-03-22,5,3,Houston
384,Keyboard,Electronics,117.06,2023-02-06,7,379,Houston
385,Jeans,Clothing,330.50,2023-03-30,5,449,"New York"
386,Jacket,Clothing,193.07,2023-04-15,4,462,Houston
387,"Table Lamp",Furniture,29.32,2023-03-18,1,445,"Los Angeles"
388,Monitor,Electronics,451.70,2023-02-14,9,360,Miami
389,Jeans,Clothing,416.91,2023-01-16,2,331,Houston
390,"History Book",Books,826.00,2023-02-12,7,386,Houston
391,Jeans,Clothing,32.29,2023-02-05,9,437,Houston
392,"Art Book",Books,96.10,2023-05-26,8,157,"Los Angeles"
393,"Science Book",Books,408.36,2023-04-08,5,414,Houston
394,"Action Figure",Toys,216.72,2023-05-01,7,245,"Los Angeles"
395,Sofa,Furniture,408.45,2023-03-03,5,198,Chicago
396,Jacket,Clothing,827.19,2023-02-14,8,491,Houston
397,T-shirt,Clothing,177.88,2023-04-23,6,38,Houston
398,Doll,Toys,888.20,2023-04-24,5,301,Chicago
399,"Fiction Book",Books,147.92,2023-04-13,4,128,"New York"
400,"Non-fiction Book",Books,493.12,2023-03-25,9,409,Chicago
401,Desk,Furniture,195.23,2023-05-31,7,261,Houston
402,Bed,Furniture,186.27,2023-04-13,3,349,Houston
403,Headphones,Electronics,273.87,2023-01-30,10,247,Chicago
404,"Action Figure",Toys,731.66,2023-03-12,8,329,Miami
405,Puzzle,Toys,73.52,2023-01-04,9,166,"New York"
406,Mouse,Electronics,242.95,2023-04-29,6,419,Chicago
407,Doll,Toys,978.65,2023-05-16,9,439,Miami
408,Puzzle,Toys,731.98,2023-04-27,1,121,"New York"
409,"Science Book",Books,368.30,2023-02-13,2,413,Houston
410,Shoes,Clothing,557.06,2023-05-25,4,131,"Los Angeles"
411,"Art Book",Books,988.89,2023-03-12,10,403,"New York"
412,"History Book",Books,418.75,2023-06-03,1,241,"Los Angeles"
413,T-shirt,Clothing,327.36,2023-02-09,2,473,"Los Angeles"
414,Puzzle,Toys,806.20,2023-05-27,7,394,"New York"
415,"Non-fiction Book",Books,390.27,2023-01-25,6,55,"New York"
416,"Action Figure",Toys,168.22,2023-03-15,6,256,Miami
417,Monitor,Electronics,758.83,2023-05-07,3,61,Miami
418,"Action Figure",Toys,859.60,2023-06-08,9,260,"New York"
419,Doll,Toys,875.54,2023-03-12,4,223,"Los Angeles"
420,"Remote Control Car",Toys,683.65,2023-05-12,7,436,Chicago
421,Doll,Toys,317.44,2023-06-07,5,261,"Los Angeles"
422,Smartphone,Electronics,432.37,2023-06-10,2,60,"New York"
423,Wardrobe,Furniture,664.37,2023-05-02,4,434,"Los Angeles"
424,Dress,Clothing,966.40,2023-04-03,7,428,"Los Angeles"
425,Jeans,Clothing,583.92,2023-01-19,8,233,"New York"
